time,temperature
2019-03-04 09:30:00,72.45
2019-03-04 09:45:00,72.80
2019-03-04 10:00:00,72.33
2019-03-04 10:15:00,72.38
2019-03-04 10:30:00,72.24
2019-03-04 10:45:00,72.72
2019-03-04 11:00:00,72.44
2019-03-04 11:15:00,72.82
2019-03-04 11:30:00,72.44
2019-03-04 11:45:00,72.40
2019-03-04 12:00:00,72.34
2019-03-04 12:15:00,72.32
2019-03-04 12:30:00,72.36
2019-03-04 12:45:00,72.40
2019-03-04 13:00:00,72.42
2019-03-04 13:15:00,72.46
2019-03-04 13:30:00,72.49
2019-03-04 13:45:00,72.61
2019-03-04 14:00:00,72.60
2019-03-04 14:15:00,72.63
2019-03-04 14:30:00,72.66
2019-03-04 14:45:00,72.58
2019-03-04 15:00:00,72.76
2019-03-04 15:15:00,73.04
2019-03-04 15:30:00,73.20
2019-03-04 15:45:00,73.45
2019-03-04 16:00:00,73.75
2019-03-04 16:15:00,74.98
2019-03-04 16:30:00,78.64
2019-03-04 16:45:00,81.38
2019-03-04 17:00:00,80.62
2019-03-04 17:15:00,82.92
2019-03-04 17:30:00,80.71
2019-03-04 17:45:00,74.37
2019-03-04 18:00:00,72.94
2019-03-04 18:15:00,72.61
2019-03-04 18:30:00,72.75
2019-03-04 18:45:00,72.18
2019-03-04 19:00:00,72.07
2019-03-04 19:15:00,70.86
2019-03-04 19:30:00,70.00
2019-03-04 19:45:00,69.22
2019-03-04 20:00:00,68.40
2019-03-04 20:15:00,68.10
2019-03-04 20:30:00,67.87
2019-03-04 20:45:00,67.78
2019-03-04 21:00:00,67.62
2019-03-04 21:15:00,66.85
2019-03-04 21:30:00,66.15
2019-03-04 21:45:00,65.56
2019-03-04 22:00:00,65.10
2019-03-04 22:15:00,65.35
2019-03-04 22:30:00,65.02
2019-03-04 22:45:00,65.00
2019-03-04 23:00:00,65.00
2019-03-04 23:15:00,64.86
2019-03-04 23:30:00,64.77
2019-03-04 23:45:00,64.69
2019-03-05 00:00:00,64.63
2019-03-05 00:15:00,64.71
2019-03-05 00:30:00,64.59
2019-03-05 00:45:00,64.53
2019-03-05 01:00:00,64.47
2019-03-05 01:15:00,64.51
2019-03-05 01:30:00,64.50
2019-03-05 01:45:00,64.38
2019-03-05 02:00:00,64.39
2019-03-05 02:15:00,64.32
2019-03-05 02:30:00,64.38
2019-03-05 02:45:00,64.41
2019-03-05 03:00:00,64.40
2019-03-05 03:15:00,64.21
2019-03-05 03:30:00,64.33
2019-03-05 03:45:00,64.16
2019-03-05 04:00:00,64.89
2019-03-05 04:15:00,65.77
2019-03-05 04:30:00,66.03
2019-03-05 04:45:00,66.02
2019-03-05 05:00:00,66.15
2019-03-05 05:15:00,66.37
2019-03-05 05:30:00,68.67
2019-03-05 05:45:00,69.10
2019-03-05 06:00:00,70.02
2019-03-05 06:15:00,70.42
2019-03-05 06:30:00,70.36
2019-03-05 06:45:00,71.00
2019-03-05 07:00:00,70.51
2019-03-05 07:15:00,71.13
2019-03-05 07:30:00,70.71
2019-03-05 07:45:00,71.12
2019-03-05 08:00:00,71.02
2019-03-05 08:15:00,71.06
2019-03-05 08:30:00,71.26
2019-03-05 08:45:00,71.11
2019-03-05 09:00:00,71.70
2019-03-05 09:15:00,71.28
2019-03-05 09:30:00,71.64
2019-03-05 09:45:00,71.73
2019-03-05 10:00:00,71.67
2019-03-05 10:15:00,71.97
2019-03-05 10:30:00,71.58
2019-03-05 10:45:00,71.83
2019-03-05 11:00:00,71.47
2019-03-05 11:15:00,71.95
2019-03-05 11:30:00,72.20
2019-03-05 11:45:00,71.62
2019-03-05 12:00:00,71.48
2019-03-05 12:15:00,71.53
2019-03-05 12:30:00,71.54
2019-03-05 12:45:00,71.66
2019-03-05 13:00:00,71.86
2019-03-05 13:15:00,71.77
2019-03-05 13:30:00,72.26
2019-03-05 13:45:00,72.31
2019-03-05 14:00:00,72.44
2019-03-05 14:15:00,72.40
2019-03-05 14:30:00,72.57
2019-03-05 14:45:00,72.98
2019-03-05 15:00:00,73.02
2019-03-05 15:15:00,73.35
2019-03-05 15:30:00,73.64
2019-03-05 15:45:00,74.02
2019-03-05 16:00:00,74.82
2019-03-05 16:15:00,76.32
2019-03-05 16:30:00,80.17
2019-03-05 16:45:00,83.53
2019-03-05 17:00:00,84.25
2019-03-05 17:15:00,84.51
2019-03-05 17:30:00,81.62
2019-03-05 17:45:00,75.37
2019-03-05 18:00:00,73.10
2019-03-05 18:15:00,72.09
2019-03-05 18:30:00,71.79
2019-03-05 18:45:00,71.48
2019-03-05 19:00:00,71.28
2019-03-05 19:15:00,70.27
2019-03-05 19:30:00,69.28
2019-03-05 19:45:00,68.55
2019-03-05 20:00:00,67.88
2019-03-05 20:15:00,67.40
2019-03-05 20:30:00,67.51
2019-03-05 20:45:00,67.50
2019-03-05 21:00:00,66.93
2019-03-05 21:15:00,66.26
2019-03-05 21:30:00,65.79
2019-03-05 21:45:00,65.30
2019-03-05 22:00:00,64.80
2019-03-05 22:15:00,64.90
2019-03-05 22:30:00,64.71
2019-03-05 22:45:00,64.64
2019-03-05 23:00:00,64.63
2019-03-05 23:15:00,64.56
2019-03-05 23:30:00,64.34
2019-03-05 23:45:00,64.28
2019-03-06 00:00:00,64.21
2019-03-06 00:15:00,64.15
2019-03-06 00:30:00,64.16
2019-03-06 00:45:00,64.17
2019-03-06 01:00:00,64.11
2019-03-06 01:15:00,64.10
2019-03-06 01:30:00,64.00
2019-03-06 01:45:00,63.98
2019-03-06 02:00:00,63.94
2019-03-06 02:15:00,64.04
2019-03-06 02:30:00,63.88
2019-03-06 02:45:00,63.98
2019-03-06 03:00:00,63.86
2019-03-06 03:15:00,63.86
2019-03-06 03:30:00,63.84
2019-03-06 03:45:00,63.87
2019-03-06 04:00:00,64.39
2019-03-06 04:15:00,65.26
2019-03-06 04:30:00,65.41
2019-03-06 04:45:00,65.47
2019-03-06 05:00:00,65.64
2019-03-06 05:15:00,65.91
2019-03-06 05:30:00,68.25
2019-03-06 05:45:00,68.90
2019-03-06 06:00:00,69.43
2019-03-06 06:15:00,70.06
2019-03-06 06:30:00,70.70
2019-03-06 06:45:00,70.29
2019-03-06 07:00:00,71.07
2019-03-06 07:15:00,70.38
2019-03-06 07:30:00,71.06
2019-03-06 07:45:00,70.63
2019-03-06 08:00:00,70.88
2019-03-06 08:15:00,70.92
2019-03-06 08:30:00,71.02
2019-03-06 08:45:00,71.41
2019-03-06 09:00:00,71.07
2019-03-06 09:15:00,71.77
2019-03-06 09:30:00,71.10
2019-03-06 09:45:00,71.56
2019-03-06 10:00:00,71.31
2019-03-06 10:15:00,72.20
2019-03-06 10:30:00,71.61
2019-03-06 10:45:00,71.42
2019-03-06 11:00:00,71.40
2019-03-06 11:15:00,71.54
2019-03-06 11:30:00,71.52
2019-03-06 11:45:00,71.38
2019-03-06 12:00:00,71.35
2019-03-06 12:15:00,71.32
2019-03-06 12:30:00,71.50
2019-03-06 12:45:00,71.60
2019-03-06 13:00:00,71.61
2019-03-06 13:15:00,71.53
2019-03-06 13:30:00,71.74
2019-03-06 13:45:00,72.10
2019-03-06 14:00:00,71.95
2019-03-06 14:15:00,71.59
2019-03-06 14:30:00,72.01
2019-03-06 14:45:00,72.31
2019-03-06 15:00:00,72.52
2019-03-06 15:15:00,72.30
2019-03-06 15:30:00,72.25
2019-03-06 15:45:00,72.21
2019-03-06 16:00:00,72.70
2019-03-06 16:15:00,74.07
2019-03-06 16:30:00,77.53
2019-03-06 16:45:00,79.39
2019-03-06 17:00:00,78.69
2019-03-06 17:15:00,74.12
2019-03-06 17:30:00,74.26
2019-03-06 17:45:00,72.50
2019-03-06 18:00:00,71.59
2019-03-06 18:15:00,72.12
2019-03-06 18:30:00,70.98
2019-03-06 18:45:00,71.16
2019-03-06 19:00:00,70.84
